id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7276361,Spacious apartment in amazing location,38097389,Karlien,,Ward 77,-33.94168,18.42604,Entire home/apt,603,2,8,2017-04-29,0.19,1,0
7282456,Endless Summer Garden Apartment,38135287,Harry,,Ward 23,-33.80604,18.46839,Entire home/apt,1467,3,1,2015-12-21,0.03,3,221
7291565,Central and secure open family home,19565144,Thomas,,Ward 59,-33.98606,18.46331,Entire home/apt,5498,5,0,,,1,0
7295646,"Sunny, warm, peaceful Greenpoint",38212718,Erica,,Ward 115,-33.91197,18.41345,Entire home/apt,1207,2,25,2019-01-02,0.66,2,195
7297602,One bedroom in two bedroom flat,24731029,Leslie,,Ward 77,-33.93476,18.40649,Private room,343,2,1,2015-08-03,0.02,2,0
7298000,Cozy 1 bed apartment with sea views,23563458,Rein,,Ward 23,-33.7199,18.44616,Entire home/apt,400,1,6,2019-02-03,1.55,2,154
7298187,LLANDUDNO - Plantation Splendour,22835933,Rod,,Ward 74,-34.01122,18.34559,Entire home/apt,15769,10,0,,,1,0
7301430,Beach Front Bliss,16100232,Lara,,Ward 54,-33.91816,18.38633,Entire home/apt,1070,2,52,2018-12-29,1.22,1,312
7301499,Modern apt - scenic mountain views,26397008,Debbie,,Ward 59,-33.98427,18.4637,Entire home/apt,1097,2,4,2016-01-18,0.10,1,226
7302437,Comfy style living tokai,3698484,Vanessa,,Ward 71,-34.06108,18.45045,Entire home/apt,1207,2,27,2018-11-19,0.81,2,71
7304861,Clivia Cottage spacious garden flat,38264815,Peter,,Ward 74,-34.03995,18.35979,Entire home/apt,644,2,32,2019-01-27,0.76,1,339
7306740,LARGE ULTRA MODERN STUDIO SEA POINT VERY CENTRAL,38276433,Semion,,Ward 54,-33.91613,18.38965,Entire home/apt,1001,7,0,,,4,348
7307007,MODERN&SUNNY 2 BEDROOM IN FRESNAYE,38276433,Semion,,Ward 54,-33.92227,18.38727,Entire home/apt,795,1,72,2019-02-04,1.83,4,350
7312518,The Perfect Beach Bungalow,23276018,Baki,,Ward 61,-34.19591,18.37309,Entire home/apt,5005,3,27,2019-02-04,0.69,15,246
7312593,Table Mountain unique City Villa,36773257,Anni,,Ward 77,-33.9426,18.40757,Private room,1001,2,4,2017-04-20,0.11,1,348
